Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-24,1825.0,1825.0,1795.0,1810.0,6740003,1830.0,1717.25,Up
2026-02-25,1870.0,1870.0,1830.0,1840.0,7857623,1838.0,1736.5,Up
2026-02-26,1945.0,1975.0,1850.0,1895.0,13692370,1858.0,1759.5,Up
2026-03-02,1900.0,1945.0,1880.0,1945.0,8811661,1867.0,1781.25,Up
2026-03-03,1815.0,1910.0,1815.0,1900.0,9621376,1871.0,1797.75,Up
2026-03-04,1720.0,1780.0,1715.0,1760.0,11024269,1850.0,1802.25,Up
2026-03-05,1775.0,1800.0,1750.0,1760.0,7826693,1831.0,1802.5,Up
2026-03-06,1765.0,1790.0,1735.0,1745.0,4418206,1795.0,1802.0,Down
2026-03-09,1665.0,1665.0,1610.0,1620.0,11475137,1748.0,1796.25,Down
2026-03-10,1705.0,1730.0,1685.0,1730.0,5273491,1726.0,1792.5,Down
2026-03-11,1765.0,1780.0,1720.0,1760.0,5783121,1735.0,1792.75,Down
2026-03-12,1785.0,1815.0,1735.0,1745.0,6354849,1737.0,1796.75,Down
2026-03-13,1720.0,1745.0,1720.0,1730.0,6467628,1728.0,1793.0,Down
2026-03-16,1710.0,1740.0,1710.0,1720.0,4423319,1737.0,1788.5,Down
2026-03-17,1730.0,1740.0,1715.0,1730.0,4260491,1742.0,1786.5,Down
2026-03-18,1730.0,1745.0,1725.0,1730.0,6009078,1735.0,1787.5,Down
2026-03-19,1680.0,1705.0,1665.0,1700.0,6764438,1714.0,1780.0,Down
2026-03-20,1700.0,1715.0,1655.0,1685.0,7874444,1710.0,1772.75,Down
2026-03-23,1625.0,1645.0,1600.0,1630.0,6372639,1693.0,1761.25,Down
2026-03-24,1620.0,1665.0,1600.0,1655.0,5324085,1671.0,1752.5,Down
2026-03-25,1620.0,1665.0,1620.0,1665.0,5839950,1649.0,1742.25,Down
2026-03-26,1590.0,1640.0,1590.0,1610.0,7031916,1631.0,1728.25,Down
2026-03-27,1585.0,1585.0,1545.0,1560.0,6833766,1608.0,1710.25,Down
2026-03-30,1510.0,1555.0,1505.0,1540.0,7235491,1585.0,1690.75,Down
2026-03-31,1490.0,1540.0,1490.0,1525.0,10218910,1559.0,1674.5,Down
2026-04-01,1465.0,1550.0,1460.0,1550.0,10756280,1528.0,1661.75,Down
2026-04-02,1465.0,1510.0,1445.0,1500.0,8691522,1503.0,1646.25,Down
2026-04-07,1470.0,1480.0,1430.0,1480.0,6910617,1480.0,1631.5,Down
2026-04-08,1580.0,1585.0,1505.0,1520.0,12976420,1494.0,1627.25,Down
2026-04-09,1575.0,1600.0,1550.0,1600.0,8061675,1511.0,1620.75,Down
2026-04-10,1575.0,1605.0,1570.0,1600.0,5381936,1533.0,1611.25,Down
2026-04-13,1620.0,1665.0,1620.0,1645.0,8802674,1564.0,1603.0,Down
2026-04-14,1720.0,1745.0,1640.0,1645.0,11909857,1614.0,1603.0,Up
2026-04-15,1790.0,1845.0,1770.0,1805.0,20848384,1656.0,1607.0,Up
2026-04-16,1895.0,1930.0,1810.0,1850.0,16504496,1720.0,1615.25,Up
2026-04-17,1925.0,1955.0,1885.0,1930.0,15450213,1790.0,1625.0,Up
