Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-25,170.5,173.5,168.5,169.0,12087746,166.6,171.7,Down
2026-02-26,175.5,178.0,168.0,171.5,15839006,169.1,171.65,Down
2026-03-02,171.5,175.0,170.0,171.0,8145030,170.7,171.35,Down
2026-03-03,165.5,173.5,165.0,172.0,7837748,170.2,170.425,Down
2026-03-04,155.0,163.0,155.0,161.5,8262768,167.6,168.975,Down
2026-03-05,160.0,161.5,156.5,160.0,4228945,165.5,167.925,Down
2026-03-06,160.0,164.0,157.0,159.0,4802817,162.4,167.075,Down
2026-03-09,151.5,153.0,148.0,152.0,6132617,158.4,165.375,Down
2026-03-10,151.0,154.5,149.5,154.5,5054765,155.5,164.025,Down
2026-03-11,156.5,158.0,153.0,153.0,4158035,155.8,163.425,Down
2026-03-12,157.5,159.5,155.0,156.0,3345103,155.3,163.125,Down
2026-03-13,158.0,158.5,154.0,154.5,2432689,154.9,162.575,Down
2026-03-16,158.5,159.5,156.0,158.0,2334170,156.3,161.975,Down
2026-03-17,162.0,164.5,160.0,160.5,3522037,158.5,161.85,Down
2026-03-18,162.0,164.5,161.0,164.0,3414639,159.6,162.025,Down
2026-03-19,159.5,161.5,158.5,161.5,2353675,160.0,161.85,Down
2026-03-20,157.5,161.0,156.0,161.0,3091639,159.9,161.575,Down
2026-03-23,154.0,160.5,152.5,155.0,3657122,159.0,161.1,Down
2026-03-24,156.5,158.0,153.0,157.5,2113727,157.9,160.525,Down
2026-03-25,158.5,160.5,157.5,158.5,2136943,157.2,160.05,Down
2026-03-26,153.5,158.0,153.5,155.5,4369138,156.0,159.2,Down
2026-03-27,152.0,152.0,149.5,152.0,3937460,154.9,158.025,Down
2026-03-30,149.0,149.5,148.0,149.0,2855161,153.9,156.9,Down
2026-03-31,143.0,149.5,142.5,148.0,7771918,151.2,155.775,Down
2026-04-01,145.0,148.5,143.5,146.5,5823677,148.5,155.275,Down
2026-04-02,144.0,148.0,143.5,147.0,2755816,146.6,154.475,Down
2026-04-07,144.5,145.5,143.5,145.5,1919852,145.1,153.7,Down
2026-04-08,148.0,149.5,147.0,147.0,3476896,144.9,153.525,Down
2026-04-09,150.0,150.0,147.5,149.5,2188079,146.3,153.475,Down
2026-04-10,150.5,151.0,149.5,150.5,1965477,147.4,153.175,Down
2026-04-13,151.5,152.0,147.5,150.5,2804684,148.9,152.875,Down
2026-04-14,151.5,153.0,150.0,153.0,3071505,150.3,152.55,Down
2026-04-15,150.5,155.0,150.5,153.0,4250086,150.8,152.15,Down
2026-04-16,155.0,155.0,150.5,151.0,4627997,151.8,151.8,Down
2026-04-17,153.0,156.0,152.0,156.0,5753460,152.3,151.35,Up
2026-04-20,153.5,156.5,152.0,154.0,7113011,152.7,151.05,Up
