Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-24,1550.0,1560.0,1510.0,1535.0,3946600,1579.0,1485.75,Up
2026-02-25,1675.0,1695.0,1560.0,1565.0,8447833,1594.0,1505.5,Up
2026-02-26,1765.0,1785.0,1665.0,1680.0,10043835,1623.0,1529.0,Up
2026-03-02,1765.0,1800.0,1715.0,1720.0,5044224,1655.0,1553.25,Up
2026-03-03,1795.0,1910.0,1780.0,1830.0,8370562,1710.0,1575.25,Up
2026-03-04,1750.0,1795.0,1670.0,1775.0,6496695,1750.0,1594.0,Up
2026-03-05,1820.0,1900.0,1795.0,1860.0,5253903,1779.0,1616.5,Up
2026-03-06,1845.0,1885.0,1785.0,1810.0,4096866,1795.0,1637.75,Up
2026-03-09,1665.0,1700.0,1665.0,1665.0,3575472,1775.0,1647.75,Up
2026-03-10,1695.0,1745.0,1665.0,1735.0,6262507,1755.0,1657.75,Up
2026-03-11,1860.0,1860.0,1740.0,1740.0,5070738,1777.0,1677.75,Up
2026-03-12,1875.0,1955.0,1870.0,1900.0,6455030,1788.0,1697.0,Up
2026-03-13,1865.0,1930.0,1815.0,1855.0,5800014,1792.0,1708.5,Up
2026-03-16,1830.0,1920.0,1830.0,1890.0,4073415,1825.0,1716.25,Up
2026-03-17,1905.0,1970.0,1860.0,1870.0,5238329,1867.0,1730.0,Up
2026-03-18,1850.0,1955.0,1850.0,1935.0,5139734,1865.0,1742.75,Up
2026-03-19,2015.0,2035.0,1835.0,1835.0,9607842,1893.0,1763.5,Up
2026-03-20,2050.0,2060.0,1945.0,2010.0,6779076,1930.0,1785.0,Up
2026-03-23,1995.0,2045.0,1955.0,1985.0,4804637,1963.0,1804.5,Up
2026-03-24,1945.0,2030.0,1915.0,2020.0,6481219,1971.0,1825.75,Up
2026-03-25,2100.0,2100.0,2015.0,2020.0,5325928,2021.0,1853.25,Up
2026-03-26,2275.0,2310.0,2175.0,2200.0,8187769,2073.0,1883.25,Up
2026-03-27,2195.0,2225.0,2120.0,2200.0,5251492,2102.0,1904.75,Up
2026-03-30,2135.0,2155.0,2075.0,2115.0,3093844,2130.0,1923.25,Up
2026-03-31,1990.0,2115.0,1945.0,2100.0,5178551,2139.0,1933.0,Up
2026-04-01,2110.0,2135.0,2065.0,2120.0,3861573,2141.0,1951.0,Up
2026-04-02,2070.0,2150.0,2065.0,2140.0,2973303,2100.0,1963.5,Up
2026-04-07,2030.0,2175.0,2015.0,2150.0,4277462,2067.0,1972.75,Up
2026-04-08,2230.0,2230.0,2150.0,2200.0,3565271,2086.0,2001.0,Up
2026-04-09,2235.0,2290.0,2200.0,2260.0,4408179,2135.0,2028.0,Up
2026-04-10,2265.0,2320.0,2230.0,2305.0,3063334,2166.0,2048.25,Up
2026-04-13,2200.0,2280.0,2185.0,2280.0,2907535,2192.0,2064.5,Up
2026-04-14,2310.0,2345.0,2260.0,2260.0,3569020,2248.0,2086.75,Up
2026-04-15,2325.0,2375.0,2310.0,2375.0,3098100,2267.0,2111.5,Up
2026-04-16,2440.0,2515.0,2365.0,2380.0,4412688,2308.0,2138.25,Up
2026-04-17,2400.0,2485.0,2375.0,2435.0,3700622,2335.0,2165.75,Up
