Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-25,1050.0,1050.0,962.0,965.0,6707618,981.0,989.75,Down
2026-02-26,1070.0,1115.0,997.0,1080.0,10398094,1001.8,993.0,Up
2026-03-02,1030.0,1070.0,1020.0,1035.0,3525082,1014.4,993.25,Up
2026-03-03,985.0,1050.0,984.0,1035.0,3855795,1018.2,988.5,Up
2026-03-04,908.0,975.0,904.0,960.0,3547724,1008.6,982.4,Up
2026-03-05,951.0,975.0,924.0,959.0,2943312,988.8,978.95,Up
2026-03-06,926.0,956.0,910.0,940.0,5237801,960.0,974.5,Down
2026-03-09,871.0,883.0,846.0,850.0,4301733,928.2,966.05,Down
2026-03-10,912.0,937.0,902.0,910.0,3122101,913.6,960.9,Down
2026-03-11,932.0,948.0,928.0,937.0,2982986,918.4,959.0,Down
2026-03-12,922.0,952.0,920.0,926.0,2660607,912.6,958.0,Down
2026-03-13,921.0,929.0,902.0,902.0,1961086,911.6,956.7,Down
2026-03-16,909.0,928.0,906.0,928.0,1853331,919.2,952.6,Down
2026-03-17,921.0,938.0,920.0,921.0,1830916,921.0,950.9,Down
2026-03-18,929.0,948.0,922.0,934.0,2353410,920.4,951.85,Down
2026-03-19,922.0,928.0,907.0,918.0,1592418,920.4,950.7,Down
2026-03-20,916.0,937.0,906.0,927.0,2068893,919.4,948.2,Down
2026-03-23,890.0,939.0,883.0,894.0,3890111,915.6,944.35,Down
2026-03-24,881.0,922.0,875.0,913.0,2300414,907.6,940.1,Down
2026-03-25,926.0,931.0,895.0,902.0,2797615,907.0,938.6,Down
2026-03-26,894.0,935.0,893.0,932.0,2503193,901.4,930.8,Down
2026-03-27,865.0,888.0,847.0,888.0,3570694,891.2,920.55,Down
2026-03-30,834.0,850.0,822.0,838.0,2333787,880.0,910.75,Down
2026-03-31,787.0,836.0,783.0,827.0,4991371,861.2,900.85,Down
2026-04-01,812.0,825.0,801.0,824.0,3328389,838.4,896.05,Down
2026-04-02,797.0,832.0,797.0,824.0,2098462,819.0,888.35,Down
2026-04-07,785.0,814.0,778.0,814.0,1565766,803.0,881.3,Down
2026-04-08,830.0,835.0,812.0,812.0,1564737,802.2,879.25,Down
2026-04-09,806.0,839.0,805.0,839.0,1649775,806.0,873.95,Down
2026-04-10,814.0,819.0,807.0,812.0,883929,806.4,868.05,Down
2026-04-13,817.0,818.0,796.0,816.0,1329645,810.4,862.8,Down
2026-04-14,830.0,843.0,823.0,835.0,2241405,819.4,858.25,Down
2026-04-15,877.0,896.0,856.0,860.0,4986425,828.8,856.65,Down
2026-04-16,872.0,885.0,835.0,879.0,5153521,842.0,854.2,Down
2026-04-17,872.0,883.0,855.0,879.0,3546852,853.6,851.35,Up
2026-04-20,891.0,929.0,886.0,908.0,4978291,868.4,849.8,Up
