Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-24,232.0,232.5,228.0,229.5,66757493,225.4,222.2,Up
2026-02-25,246.5,247.0,234.5,235.0,162158621,231.0,223.05,Up
2026-02-26,243.0,253.5,241.5,253.5,117910827,235.4,224.025,Up
2026-03-02,239.0,241.0,232.5,234.0,72894162,237.8,225.025,Up
2026-03-03,229.0,240.0,228.0,239.0,84561556,237.9,225.3,Up
2026-03-04,217.0,225.0,216.5,224.5,117264053,234.9,225.075,Up
2026-03-05,224.0,228.0,222.0,224.5,54395081,230.4,225.075,Up
2026-03-06,223.0,223.5,219.0,221.0,36562334,226.4,224.95,Up
2026-03-09,210.5,212.5,206.0,208.0,89078875,220.7,224.2,Down
2026-03-10,209.5,216.5,209.5,216.0,66168862,216.8,223.475,Down
2026-03-11,219.0,220.0,212.5,212.5,53568046,217.2,223.4,Down
2026-03-12,214.5,218.5,213.0,217.0,42953811,215.3,223.4,Down
2026-03-13,214.5,216.0,210.0,211.5,35894769,213.6,223.3,Down
2026-03-16,216.5,217.5,214.0,216.0,37886518,214.8,223.175,Down
2026-03-17,212.0,216.5,212.0,215.5,106419159,215.3,223.0,Down
2026-03-18,210.0,213.5,210.0,212.5,72625994,213.5,222.75,Down
2026-03-19,205.0,207.5,205.0,207.5,83275296,211.6,222.075,Down
2026-03-20,203.0,205.0,200.5,203.5,89100557,209.3,221.175,Down
2026-03-23,196.0,197.5,195.0,196.5,73041333,205.2,219.625,Down
2026-03-24,195.0,199.5,194.0,198.5,53882508,201.8,217.95,Down
2026-03-25,200.0,201.0,197.0,200.0,40930016,199.8,216.35,Down
2026-03-26,200.5,206.0,200.5,202.5,40681455,198.9,214.05,Down
2026-03-27,199.5,200.5,196.5,197.0,28552049,198.2,211.875,Down
2026-03-30,194.0,195.5,193.0,194.5,44238703,197.8,209.625,Down
2026-03-31,187.5,192.5,187.5,191.0,85781264,196.3,207.55,Down
2026-04-01,197.0,197.5,194.5,195.0,44327183,195.7,206.55,Down
2026-04-02,193.0,199.0,191.5,198.0,36299062,194.2,205.0,Down
2026-04-07,192.0,195.5,189.5,195.0,35130860,192.7,203.45,Down
2026-04-08,201.5,202.0,196.5,196.5,65536699,194.2,203.0,Down
2026-04-09,200.0,201.5,198.0,201.0,40511384,196.7,202.525,Down
2026-04-10,200.5,202.5,199.5,200.5,55780853,197.4,201.6,Down
2026-04-13,200.0,202.5,198.5,200.0,36786764,198.8,200.875,Down
2026-04-14,207.5,208.0,203.5,204.0,56963436,201.9,200.525,Up
2026-04-15,207.5,211.5,206.5,211.5,69041187,203.1,200.075,Up
2026-04-16,207.0,211.0,206.0,207.5,44353061,204.5,199.825,Up
2026-04-17,206.0,209.5,203.5,207.5,47524705,205.6,199.625,Up
