Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-25,190.0,192.0,182.0,190.0,31994678,180.7,171.275,Up
2026-02-26,187.0,191.5,184.0,188.0,21864341,183.6,174.125,Up
2026-03-02,184.5,194.5,177.5,177.5,36654901,186.1,176.925,Up
2026-03-03,176.5,195.0,174.5,186.5,44515186,185.3,178.7,Up
2026-03-04,159.5,174.5,159.0,169.5,27815966,179.5,178.925,Up
2026-03-05,164.5,172.5,162.5,170.5,19592289,174.4,179.275,Down
2026-03-06,166.0,167.5,161.0,164.0,12208277,170.2,179.575,Down
2026-03-09,152.0,153.0,149.5,150.0,14250680,163.7,178.825,Down
2026-03-10,156.5,159.5,151.0,159.0,14057640,159.7,177.825,Down
2026-03-11,163.5,168.5,158.0,158.5,15193338,160.5,176.75,Down
2026-03-12,167.5,170.0,162.5,164.0,13967793,161.1,175.975,Down
2026-03-13,167.5,172.0,160.0,162.5,15115124,161.4,174.55,Down
2026-03-16,175.0,175.0,168.0,171.5,17035686,166.0,172.925,Down
2026-03-17,176.5,181.5,172.5,181.0,19136246,170.0,172.4,Down
2026-03-18,173.5,181.0,172.5,179.5,13562492,172.0,172.325,Down
2026-03-19,173.0,178.0,171.5,173.0,11010302,173.1,172.325,Up
2026-03-20,173.5,183.0,170.5,177.5,28241417,174.3,172.375,Up
2026-03-23,166.0,171.0,164.0,166.0,11338714,172.5,172.075,Up
2026-03-24,167.0,175.0,165.0,171.0,16538567,170.6,171.4,Down
2026-03-25,180.0,183.0,173.5,173.5,19171478,171.9,170.975,Up
2026-03-26,172.0,190.0,172.0,183.0,36677434,171.7,170.075,Up
2026-03-27,188.5,189.0,168.5,169.0,46214354,174.7,170.15,Up
2026-03-30,179.0,188.0,172.0,186.0,33117442,177.3,169.875,Up
2026-03-31,170.0,179.5,168.0,174.0,20483981,177.9,169.55,Up
2026-04-01,178.0,184.5,176.0,180.0,24723264,177.5,170.475,Up
2026-04-02,179.5,185.0,176.0,181.5,26434746,179.0,171.225,Up
2026-04-07,197.0,197.0,181.5,185.0,36945600,180.7,172.775,Up
2026-04-08,216.5,216.5,201.5,212.0,66562514,188.2,176.0,Up
2026-04-09,226.0,229.0,213.5,223.0,57166260,199.4,179.475,Up
2026-04-10,225.5,233.0,220.5,229.5,31355302,208.9,182.575,Up
2026-04-13,248.0,248.0,226.0,227.0,30048401,222.6,186.6,Up
2026-04-14,224.0,251.0,224.0,251.0,58810263,228.0,189.425,Up
2026-04-15,243.0,245.0,230.0,231.0,50978442,233.3,192.825,Up
2026-04-16,267.0,267.0,244.0,251.0,52786116,241.5,197.35,Up
2026-04-17,264.5,274.5,259.0,268.0,52166030,249.3,201.9,Up
2026-04-20,251.5,266.5,251.0,265.5,33051610,250.0,205.825,Up
