Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-25,281.5,295.5,277.5,289.5,21442819,263.2,255.675,Up
2026-02-26,309.5,309.5,285.5,286.5,33100228,275.5,258.2,Up
2026-03-02,304.0,328.0,300.5,301.0,60053055,287.7,260.7,Up
2026-03-03,334.0,334.0,310.0,311.0,50815473,301.8,264.6,Up
2026-03-04,301.0,329.5,301.0,324.0,20196668,306.0,266.85,Up
2026-03-05,287.0,324.0,280.0,316.5,57687498,307.1,268.625,Up
2026-03-06,282.5,293.0,276.5,282.5,24276492,301.7,270.15,Up
2026-03-09,254.5,254.5,254.5,254.5,1962379,291.8,269.925,Up
2026-03-10,248.0,267.0,241.0,266.0,27164367,274.6,269.325,Up
2026-03-11,272.5,272.5,256.5,257.0,16914460,268.9,270.35,Down
2026-03-12,274.5,286.0,269.0,272.5,26358660,266.4,271.825,Down
2026-03-13,281.0,283.5,263.5,268.0,19523047,266.1,273.375,Down
2026-03-16,289.5,293.0,274.0,289.0,20674040,273.1,274.7,Down
2026-03-17,280.0,296.5,277.0,296.5,21714355,279.5,276.0,Up
2026-03-18,280.5,284.5,275.5,283.5,12308840,281.1,277.95,Up
2026-03-19,279.0,288.0,276.5,280.0,16284356,282.0,279.675,Up
2026-03-20,285.5,304.0,285.5,288.0,37505633,282.9,281.55,Up
2026-03-23,261.5,273.0,259.5,265.0,16382776,277.3,282.475,Down
2026-03-24,257.0,273.0,257.0,270.0,10339515,272.7,282.15,Down
2026-03-25,278.0,282.0,270.0,270.0,10886354,272.2,282.05,Down
2026-03-26,279.0,302.5,278.0,282.0,22048136,272.2,281.925,Down
2026-03-27,271.5,275.0,265.5,273.0,7894497,269.4,280.025,Down
2026-03-30,257.5,266.0,253.0,264.5,7220854,268.6,277.7,Down
2026-03-31,242.0,256.0,237.0,252.5,9117843,265.6,273.1,Down
2026-04-01,247.5,258.0,246.0,256.0,7820071,259.5,270.425,Down
2026-04-02,241.0,257.5,241.0,251.0,8991401,251.9,268.125,Down
2026-04-07,258.0,260.0,246.5,246.5,9517845,249.2,266.9,Down
2026-04-08,271.5,273.0,263.5,268.0,13233861,252.0,267.75,Down
2026-04-09,289.5,298.5,272.0,274.0,29749043,261.5,269.825,Down
2026-04-10,306.5,311.5,282.5,295.0,31518474,273.3,271.525,Up
2026-04-13,309.5,317.5,297.5,308.5,21573813,287.0,273.275,Up
2026-04-14,314.5,332.5,310.0,322.0,23167219,298.3,274.95,Up
2026-04-15,345.5,345.5,323.5,324.0,24740294,313.1,277.75,Up
2026-04-16,341.0,345.5,325.5,345.5,33409912,323.4,280.8,Up
2026-04-17,366.0,372.5,350.0,350.0,24012157,335.3,285.075,Up
2026-04-20,383.0,397.0,364.0,375.0,38722821,350.0,290.275,Up
