Date,Close,High,Low,Open,Volume,MA5,MA20,Trend
2026-02-25,2008.4471435546875,2018.4146231753064,1988.51218431345,1988.51218431345,40832607,1928.70732421875,1812.3369934082032,Up
2026-02-26,1988.51220703125,2003.4634266329888,1988.51220703125,1993.4959468984962,58561388,1951.63251953125,1823.301220703125,Up
2026-03-02,1968.5772705078125,1988.5122302091575,1933.691091030459,1933.691091030459,48884884,1963.593505859375,1835.0130126953125,Up
2026-03-03,1928.707275390625,1973.5609329578488,1928.707275390625,1963.5934534984658,43090471,1970.5707275390625,1843.7345581054688,Up
2026-03-04,1858.9349365234375,1903.7885945092576,1858.9349365234375,1888.837375180651,68160943,1950.6357666015624,1848.4691101074218,Up
2026-03-05,1893.8211669921875,1953.6260459498355,1888.8374270790503,1933.6910862972861,48120463,1927.7105712890625,1855.6955322265626,Up
2026-03-06,1883.8536376953125,1893.821117259838,1873.8861581307872,1873.8861581307872,30082724,1906.778857421875,1861.1776428222656,Up
2026-03-09,1804.11376953125,1804.11376953125,1764.2438519725483,1769.2275916673862,76459172,1873.8861572265625,1860.679266357422,Up
2026-03-10,1843.9837646484375,1883.8536838840794,1824.0488050306167,1863.9187242662586,41375691,1856.941455078125,1862.9219482421875,Down
2026-03-11,1933.6910400390625,1943.6585196268927,1868.902422718166,1878.8699023059962,36167313,1871.89267578125,1871.1451171875,Up
2026-03-12,1878.869873046875,1908.7723113447032,1878.869873046875,1893.821092195789,34040589,1868.9024169921875,1877.1256042480468,Down
2026-03-13,1858.9349365234375,1878.8698956282465,1834.0162376424262,1834.0162376424262,31214304,1863.9186767578126,1880.3650329589843,Down
2026-03-16,1839.0,1873.8861788617885,1839.0,1868.90243902439,31249086,1870.8959228515625,1883.3552795410155,Down
2026-03-17,1870.0,1880.0,1860.0,1875.0,23812211,1876.099169921875,1888.8922729492188,Down
2026-03-18,1905.0,1910.0,1890.0,1900.0,23068156,1870.3609619140625,1895.4317016601562,Down
2026-03-19,1850.0,1880.0,1850.0,1875.0,31040569,1864.5869873046875,1897.476824951172,Down
2026-03-20,1840.0,1870.0,1840.0,1860.0,46312322,1860.8,1895.7825134277343,Down
2026-03-23,1810.0,1815.0,1785.0,1790.0,34902948,1855.0,1890.843896484375,Down
2026-03-24,1810.0,1850.0,1800.0,1850.0,27001025,1843.0,1886.6528381347657,Down
2026-03-25,1845.0,1875.0,1845.0,1865.0,40964040,1831.0,1880.9723510742188,Down
2026-03-26,1840.0,1865.0,1840.0,1850.0,20958470,1829.0,1872.5499938964845,Down
2026-03-27,1820.0,1825.0,1800.0,1805.0,28974140,1825.0,1864.1243835449218,Down
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,1819.0,1854.6955200195312,Down
2026-03-31,1760.0,1790.0,1760.0,1775.0,49221091,1809.0,1846.26015625,Down
2026-04-01,1855.0,1855.0,1830.0,1840.0,35537379,1811.0,1846.063409423828,Down
2026-04-02,1810.0,1865.0,1805.0,1865.0,25132417,1805.0,1841.8723510742188,Down
2026-04-07,1860.0,1860.0,1835.0,1850.0,17953562,1813.0,1840.679669189453,Down
2026-04-08,1950.0,1950.0,1925.0,1935.0,46515921,1847.0,1847.9739807128906,Down
2026-04-09,1955.0,1955.0,1930.0,1945.0,31835073,1886.0,1853.5247924804687,Up
2026-04-10,2000.0,2000.0,1970.0,1975.0,28637625,1915.0,1856.8402404785156,Up
2026-04-13,1990.0,1995.0,1975.0,1985.0,28968757,1951.0,1862.396746826172,Up
2026-04-14,2055.0,2055.0,2010.0,2015.0,39113405,1990.0,1872.2,Up
2026-04-15,2080.0,2100.0,2060.0,2065.0,40343568,2016.0,1884.25,Up
2026-04-16,2085.0,2090.0,2055.0,2080.0,32038524,2042.0,1895.0,Up
2026-04-17,2030.0,2060.0,2030.0,2055.0,39260244,2048.0,1901.25,Up
2026-04-20,2025.0,2055.0,2025.0,2030.0,27165172,2055.0,1910.0,Up
